DIMENSION:14473,
13400,87750
14533.3333,88383.3333
14000,87116.6667
15016.6667,88783.3333
14750,87650
14716.6667,87866.6667
14700,88816.6667
14633.3333,88933.3333
14600,87933.3333
14483.3333,88250
14316.6667,87866.6667
13933.3333,87166.6667
13700,87333.3333
13933.3333,87300
14700,88500
14933.3333,87400
14650,88550
15400,87300
15300,87550
15016.6667,88783.3333
15016.6667,87216.6667
14833.3333,86500
14750,87650
14716.6667,87866.6667
14700,88816.6667
14700,87900
14650,88550
14516.6667,88566.6667
14516.6667,87966.6667
14483.3333,88250
14483.3333,88050
14483.3333,87100
14200,88350
14150,87583.3333
14116.6667,88550
14100,86850
14050,86883.3333
14016.6667,86350
14000,87233.3333
13933.3333,87166.6667
13866.6667,87633.3333
13800,88400
13700,87333.3333
13666.6667,87633.3333
13633.3333,87116.6667
13516.6667,86883.3333
13450,86900
13250,87016.6667
13450,86900
14316.6667,87866.6667
13866.6667,87633.3333
14716.6667,88516.6667
14100,86416.6667
13800,86750
15033.3333,88883.3333
15033.3333,88883.3333
15183.3333,87066.6667
13933.3333,87666.6667
13833.3333,87700
15483.3333,87883.3333
15616.6667,87950
15183.3333,87066.6667
15066.6667,88066.6667
14950,87933.3333
14433.3333,89116.6667
14366.6667,87833.3333
14316.6667,87216.6667
13933.3333,87666.6667
13750,87600
13366.6667,87066.6667
14583.3333,87566.6667
14500,86083.3333
15366.6667,88366.6667
14283.3333,88483.3333
13700,87566.6667
14883.3333,88733.3333
14633.3333,87500
14633.3333,87500
15233.3333,88100
14433.3333,89183.3333
15416.6667,87600
15416.6667,87600
14033.3333,87500
14733.3333,87600
14733.3333,87600
13700,86816.6667
14750,86500
13800,87250
15250,88116.6667
14883.3333,88583.3333
14200,87400
14566.6667,87900
13766.6667,87166.6667
15633.3333,86466.6667
14766.6667,86183.3333
14300,87033.3333
13266.6667,87133.3333
15283.3333,88416.6667
14700,88700
15350,87316.6667
14700,88700
13333.3333,86983.3333
14716.6667,88400
14750,86500
15683.3333,85250
13816.6667,87233.3333
15216.6667,87266.6667
15683.3333,85250
15350,87333.3333
15116.6667,87333.3333
15016.6667,86633.3333
14933.3333,86650
14883.3333,86250
14866.6667,86750
14850,88283.3333
14833.3333,86166.6667
14666.6667,88550
14416.6667,87150
14300,86533.3333
14266.6667,87866.6667
14216.6667,86550
14183.3333,86816.6667
13933.3333,86900
13833.3333,87583.3333
13766.6667,87300
14683.3333,87933.3333
14066.6667,87050
13616.6667,87350
13616.6667,87266.6667
13800,87333.3333
13616.6667,87266.6667
14583.3333,89233.3333
14316.6667,88883.3333
14000,86433.3333
13783.3333,86766.6667
13633.3333,87250
13500,87416.6667
13866.6667,87266.6667
15150,87916.6667
16400,86350
15366.6667,84583.3333
15366.6667,84583.3333
15383.3333,88016.6667
14100,86283.3333
15566.6667,87266.6667
14216.6667,87083.3333
15233.3333,88166.6667
14916.6667,88333.3333
15516.6667,88216.6667
15383.3333,88016.6667
14983.3333,88333.3333
15000,83166.6667
14800,88366.6667
14966.6667,88533.3333
16000,85033.3333
15283.3333,87966.6667
14783.3333,88466.6667
14433.3333,89183.3333
14916.6667,88333.3333
15116.6667,88100
15466.6667,87500
15266.6667,87600
14933.3333,88050
14783.3333,88166.6667
14650,88700
14500,88600
14300,88183.3333
15016.6667,88733.3333
15016.6667,88733.3333
14983.3333,88333.3333
15816.6667,86500
15033.3333,89100
13750,87166.6667
15033.3333,88716.6667
13900,87250
14050,87266.6667
14100,86283.3333
16466.6667,85850
15450,87833.3333
15350,86683.3333
15350,86683.3333
14900,86333.3333
15616.6667,87816.6667
14766.6667,88333.3333
15150,88516.6667
14750,87366.6667
14800,88366.6667
16416.6667,86300
14333.3333,87066.6667
14616.6667,87366.6667
15583.3333,86216.6667
14800,88316.6667
15316.6667,87700
13850,88233.3333
13700,86983.3333
14716.6667,86816.6667
14516.6667,86816.6667
14600,87300
13966.6667,86400
15733.3333,86800
14550,88866.6667
15450,87833.3333
13866.6667,87216.6667
15850,85200
15733.3333,86800
15716.6667,86433.3333
15150,87883.3333
15133.3333,86900
14683.3333,89016.6667
14516.6667,88450
14483.3333,88566.6667
14433.3333,89116.6667
14066.6667,87516.6667
13716.6667,87066.6667
13550,86933.3333
14950,88683.3333
14600,89233.3333
13550,87383.3333
15633.3333,87083.3333
15450,87833.3333
14933.3333,86283.3333
15633.3333,87083.3333
15500,84383.3333
15383.3333,86016.6667
15366.6667,86566.6667
14933.3333,86283.3333
14933.3333,86250
14800,87016.6667
14733.3333,85916.6667
14566.6667,86200
13800,87400
15450,87833.3333
13866.6667,87216.6667
14083.3333,88333.3333
13700,87250
15766.6667,86166.6667
15150,88283.3333
13800,88383.3333
14933.3333,87916.6667
13883.3333,87650
13216.6667,86950
13083.3333,86966.6667
14866.6667,88500
14833.3333,86216.6667
14533.3333,86650
14183.3333,86266.6667
15783.3333,86800
15450,87816.6667
13200,87133.3333
13200,87133.3333
15216.6667,88316.6667
14616.6667,84616.6667
15216.6667,83766.6667
13983.3333,88083.3333
13516.6667,87533.3333
13516.6667,87533.3333
15383.3333,88183.3333
13283.3333,87000
13733.3333,86783.3333
13700,87083.3333
13633.3333,86883.3333
13550,87116.6667
13833.3333,86800
13533.3333,87483.3333
13700,86983.3333
14116.6667,88033.3333
14450,89233.3333
14200,87916.6667
14150,87916.6667
14150,87916.6667
15066.6667,86516.6667
14116.6667,88033.3333
13933.3333,87866.6667
13783.3333,87550
13783.3333,87550
13433.3333,87783.3333
13433.3333,87783.3333
13433.3333,87783.3333
14950,87183.3333
14466.6667,87083.3333
14466.6667,87083.3333
14250,87066.6667
14250,87066.6667
13983.3333,87466.6667
13583.3333,86966.6667
14166.6667,87533.3333
14466.6667,87083.3333
14250,87066.6667
14166.6667,87533.3333
16333.3333,86566.6667
15816.6667,84433.3333
15666.6667,88083.3333
13816.6667,87216.6667
13816.6667,87216.6667
13766.6667,87233.3333
13766.6667,87283.3333
14450,89233.3333
14666.6667,87116.6667
14516.6667,87700
13950,88383.3333
13800,87316.6667
15700,88233.3333
14783.3333,89050
14750,87866.6667
13900,87000
14400,86783.3333
14816.6667,88716.6667
13616.6667,87450
13566.6667,86900
15283.3333,87350
14116.6667,86866.6667
14116.6667,86866.6667
15283.3333,85850
15283.3333,85850
15316.6667,87600
15316.6667,87600
15033.3333,84266.6667
14850,89083.3333
13816.6667,87583.3333
13366.6667,87600
14316.6667,87416.6667
14133.3333,87816.6667
14550,86566.6667
13666.6667,87333.3333
13666.6667,87283.3333
13550,87416.6667
15350,87900
14533.3333,87416.6667
14150,88400
15416.6667,87850
15416.6667,87850
15416.6667,87850
13900,87000
14150,88400
15400,87833.3333
15383.3333,87850
15383.3333,87850
15716.6667,86900
15366.6667,87000
15066.6667,86900
14866.6667,87950
14583.3333,88300
14450,88300
13900,88350
14850,87366.6667
14866.6667,88433.3333
15583.3333,87883.3333
15583.3333,87883.3333
14866.6667,86983.3333
15583.3333,87883.3333
15583.3333,87883.3333
15100,86350
14750,88933.3333
14283.3333,87250
14050,87350
15733.3333,87033.3333
14483.3333,89033.3333
14050,87116.6667
15433.3333,86866.6667
14050,87116.6667
13516.6667,87416.6667
15433.3333,86866.6667
15433.3333,86866.6667
15600,87116.6667
14783.3333,89166.6667
14216.6667,87050
14216.6667,87050
13866.6667,86633.3333
14633.3333,88733.3333
14550,88416.6667
13750,87233.3333
13783.3333,87200
14816.6667,86900
13866.6667,87350
13783.3333,87250
13783.3333,87200
13750,87233.3333
13733.3333,87366.6667
13516.6667,87033.3333
13400,87066.6667
14600,86900
14133.3333,88283.3333
14766.6667,88966.6667
15616.6667,86333.3333
14800,89183.3333
14633.3333,88733.3333
15733.3333,86916.6667
15016.6667,89033.3333
13650,87550
13066.6667,87133.3333
14033.3333,88033.3333
14850,87366.6667
14683.3333,87183.3333
14683.3333,87183.3333
14633.3333,88866.6667
14683.3333,87183.3333
13716.6667,87583.3333
15233.3333,88016.6667
15100,88100
14216.6667,87033.3333
15750,86150
14100,88283.3333
14683.3333,87183.3333
14983.3333,87600
14900,86800
14650,87933.3333
14266.6667,87750
15566.6667,87833.3333
14850,87783.3333
14650,87933.3333
14266.6667,87750
15416.6667,88316.6667
15150,88166.6667
15050,88333.3333
15016.6667,88183.3333
14983.3333,88166.6667
14783.3333,88716.6667
14666.6667,87283.3333
14416.6667,89133.3333
14083.3333,87133.3333
13866.6667,87350
14883.3333,88866.6667
14066.6667,88050
13900,87200
15166.6667,86183.3333
14950,87000
13933.3333,86900
14883.3333,88866.6667
14133.3333,87100
14883.3333,88866.6667
13733.3333,86900
13433.3333,87516.6667
13366.6667,87050
14416.6667,88233.3333
15366.6667,88616.6667
14066.6667,87566.6667
13200,87366.6667
14700,88650
16466.6667,85883.3333
15533.3333,86250
15366.6667,87400
13816.6667,86700
14033.3333,88483.3333
14033.3333,88483.3333
14633.3333,88216.6667
15816.6667,84433.3333
14483.3333,89300
13183.3333,87100
15133.3333,87183.3333
15600,87416.6667
15266.6667,87600
14650,88216.6667
15283.3333,87583.3333
15266.6667,87600
14800,88250
13783.3333,87550
14933.3333,87183.3333
14966.6667,87116.6667
14816.6667,88783.3333
14766.6667,88066.6667
14116.6667,87983.3333
15033.3333,84266.6667
15283.3333,86916.6667
15816.6667,84433.3333
14850,88083.3333
14850,88083.3333
14850,88083.3333
14866.6667,88083.3333
15033.3333,84266.6667
14433.3333,88683.3333
14433.3333,88683.3333
14416.6667,88683.3333
14316.6667,88650
14316.6667,88650
14750,88650
14483.3333,88116.6667
15233.3333,83883.3333
15233.3333,83883.3333
15233.3333,83883.3333
15233.3333,83883.3333
15233.3333,83883.3333
14600,86850
14750,88650
14283.3333,88083.3333
14683.3333,87200
14666.6667,87216.6667
13333.3333,86850
14666.6667,87216.6667
14233.3333,86950
14216.6667,87883.3333
14766.6667,89066.6667
14816.6667,89050
14850,89033.3333
14816.6667,89050
14850,89033.3333
15833.3333,86233.3333
14883.3333,89100
15483.3333,88083.3333
15283.3333,86583.3333
14783.3333,89100
14800,86983.3333
15133.3333,86900
15133.3333,86850
15100,89033.3333
15050,88750
14933.3333,88083.3333
14800,88766.6667
14583.3333,87450
13283.3333,86750
14883.3333,89000
14733.3333,87483.3333
14366.6667,87750
13833.3333,87600
14950,88266.6667
15450,87683.3333
15450,87683.3333
14816.6667,87383.3333
14833.3333,87333.3333
14916.6667,89050
14800,87350
15050,87283.3333
15216.6667,88550
13633.3333,87633.3333
15350,88300
13766.6667,87200
13750,87233.3333
15383.3333,88416.6667
13916.6667,87216.6667
15383.3333,88416.6667
15700,88066.6667
15700,88066.6667
13833.3333,87500
16400,86433.3333
15633.3333,86433.3333
15616.6667,86416.6667
15683.3333,87050
14033.3333,88333.3333
15016.6667,88066.6667
14450,88800
14466.6667,88683.3333
15266.6667,88233.3333
14450,88516.6667
14366.6667,88550
14450,88516.6667
15133.3333,88066.6667
15100,87283.3333
14750,87216.6667
14633.3333,87650
14633.3333,87033.3333
14300,87083.3333
13866.6667,87150
13466.6667,86933.3333
14150,88750
15583.3333,87650
15583.3333,87650
15550,87383.3333
14350,88416.6667
14600,88850
14516.6667,88466.6667
14483.3333,88900
14116.6667,86783.3333
14866.6667,87750
14866.6667,87750
14183.3333,87600
14283.3333,86783.3333
15266.6667,88233.3333
15100,87283.3333
14750,87216.6667
14633.3333,87650
14633.3333,87033.3333
14300,87083.3333
13900,87233.3333
13866.6667,87150
14150,88750
13500,86783.3333
14900,88950
14033.3333,87000
13616.6667,87500
14500,89233.3333
14433.3333,88900
15800,87783.3333
15800,87783.3333
15200,87516.6667
13900,87783.3333
14650,88683.3333
14433.3333,89150
14316.6667,88983.3333
14950,88266.6667
15466.6667,86450
14983.3333,87483.3333
14900,87483.3333
14733.3333,86683.3333
15466.6667,86450
14733.3333,86683.3333
14266.6667,88233.3333
15750,87800
15750,87800
13300,87066.6667
14566.6667,88550
14616.6667,88650
14583.3333,88600
15216.6667,86883.3333
13300,87066.6667
14483.3333,87133.3333
15666.6667,87800
15766.6667,87900
15500,86683.3333
15016.6667,86700
14066.6667,88050
13933.3333,87300
14116.6667,86783.3333
14833.3333,87733.3333
14916.6667,89066.6667
13733.3333,87550
14350,88416.6667
14466.6667,88650
14783.3333,87766.6667
15050,88066.6667
15666.6667,85250
15666.6667,85250
14366.6667,87983.3333
14450,89233.3333
15366.6667,88116.6667
14416.6667,88000
13633.3333,87050
13633.3333,87050
15366.6667,88116.6667
14100,88483.3333
14550,87133.3333
14066.6667,87683.3333
14083.3333,87316.6667
13916.6667,87833.3333
14250,86766.6667
13916.6667,87833.3333
14750,87516.6667
14716.6667,88883.3333
14683.3333,88733.3333
14683.3333,88516.6667
14516.6667,88033.3333
14133.3333,87916.6667
14116.6667,88433.3333
14033.3333,88366.6667
14016.6667,86366.6667
13900,88216.6667
13900,87300
13883.3333,86850
13700,86933.3333
14333.3333,88683.3333
15166.6667,88233.3333
13916.6667,87833.3333
14750,87516.6667
14716.6667,88883.3333
14683.3333,88733.3333
14683.3333,88516.6667
14116.6667,88433.3333
13900,87300
13883.3333,86850
13766.6667,87133.3333
14333.3333,88683.3333
15166.6667,88233.3333
15516.6667,87400
14466.6667,88516.6667
14450,89133.3333
14433.3333,88533.3333
14450,87583.3333
14366.6667,87250
13800,86533.3333
13883.3333,87750
15016.6667,86400
14766.6667,87766.6667
14066.6667,87683.3333
13883.3333,87750
13816.6667,86716.6667
13733.3333,87566.6667
13533.3333,87150
13516.6667,87116.6667
13483.3333,87150
14850,88650
14000,87016.6667
15700,88233.3333
15316.6667,87316.6667
15183.3333,87316.6667
15166.6667,85983.3333
13866.6667,86616.6667
15583.3333,87300
15183.3333,88583.3333
14900,87366.6667
14600,87283.3333
14450,87583.3333
14366.6667,87250
14250,86850
15583.3333,87300
15266.6667,87300
15266.6667,86366.6667
15266.6667,86366.6667
14400,88900
15800,86966.6667
15216.6667,88516.6667
15033.3333,88883.3333
14966.6667,88600
14916.6667,88166.6667
15616.6667,87116.6667
15200,87950
15683.3333,88133.3333
13616.6667,87500
13816.6667,86966.6667
14933.3333,87650
14366.6667,87983.3333
15750,87900
13983.3333,88333.3333
13933.3333,88350
16000,85833.3333
13500,86933.3333
15016.6667,83666.6667
15016.6667,83666.6667
15683.3333,85250
15716.6667,87083.3333
15783.3333,84783.3333
13800,87533.3333
13566.6667,87400
13483.3333,87150
15716.6667,85133.3333
14716.6667,88466.6667
13283.3333,87316.6667
13950,86566.6667
14250,87050
14266.6667,87933.3333
14150,88033.3333
14850,88916.6667
14783.3333,88800
14533.3333,86816.6667
14533.3333,86816.6667
16000,85833.3333
15783.3333,86033.3333
15300,85550
15400,88050
14933.3333,86266.6667
14883.3333,87150
13883.3333,87033.3333
14783.3333,87766.6667
14366.6667,88150
14883.3333,88316.6667
14033.3333,88616.6667
14216.6667,88516.6667
13616.6667,87450
13816.6667,86966.6667
14683.3333,89083.3333
13850,87266.6667
13783.3333,87233.3333
13683.3333,87450
13616.6667,87050
13700,87250
14916.6667,86383.3333
15383.3333,87916.6667
14433.3333,88183.3333
16350,86566.6667
14033.3333,87500
14116.6667,88433.3333
15050,86833.3333
15066.6667,86800
14700,88650
14366.6667,88350
14050,88533.3333
16466.6667,85883.3333
16466.6667,85883.3333
16283.3333,86633.3333
16283.3333,86616.6667
16283.3333,86616.6667
15016.6667,83283.3333
15716.6667,86016.6667
14066.6667,86333.3333
15716.6667,86016.6667
15033.3333,87533.3333
15766.6667,85783.3333
15666.6667,86016.6667
15716.6667,86783.3333
15716.6667,86016.6667
15533.3333,86250
14116.6667,88616.6667
14116.6667,88433.3333
15333.3333,88316.6667
13766.6667,87466.6667
13733.3333,86916.6667
13733.3333,87550
15166.6667,86200
15766.6667,85700
15566.6667,87100
15166.6667,86200
14616.6667,88566.6667
15433.3333,88166.6667
13716.6667,87083.3333
14433.3333,88183.3333
14116.6667,88183.3333
15883.3333,86266.6667
15883.3333,86266.6667
13700,87250
15000,89133.3333
13950,88433.3333
15533.3333,87816.6667
15050,89050
14900,87100
14533.3333,86683.3333
14716.6667,86316.6667
15466.6667,86416.6667
14133.3333,88483.3333
14133.3333,88483.3333
14466.6667,88750
14400,88900
14350,88833.3333
14466.6667,88750
13416.6667,87116.6667
14883.3333,87550
14750,87300
14600,87566.6667
14350,88416.6667
14166.6667,88533.3333
13900,88216.6667
13616.6667,87566.6667
13416.6667,87116.6667
13800,87233.3333
13783.3333,87466.6667
15433.3333,86400
14100,88483.3333
14100,88483.3333
13833.3333,87500
14100,88483.3333
13833.3333,87500
14183.3333,87350
14416.6667,88150
14633.3333,88216.6667
14333.3333,87833.3333
14666.6667,88266.6667
15566.6667,87783.3333
14783.3333,89150
15183.3333,88233.3333
15083.3333,88450
14766.6667,87350
14350,88833.3333
14800,88450
13683.3333,87083.3333
14716.6667,88416.6667
15433.3333,86400
14516.6667,87166.6667
14183.3333,87633.3333
13600,87366.6667
14416.6667,88150
13766.6667,87466.6667
13766.6667,87250
15533.3333,86066.6667
15416.6667,87233.3333
15416.6667,87233.3333
13883.3333,86266.6667
14516.6667,86733.3333
15200,86850
15650,87950
15283.3333,87583.3333
13800,86650
14866.6667,87516.6667
15283.3333,87750
14766.6667,88716.6667
14200,88800
14083.3333,88366.6667
13933.3333,86500
13533.3333,86966.6667
14750,88316.6667
14183.3333,88283.3333
13316.6667,86900
13666.6667,87650
15366.6667,85883.3333
14450,88816.6667
13850,87033.3333
13850,87033.3333
14100,87800
15066.6667,86133.3333
14083.3333,88366.6667
13866.6667,88300
13233.3333,87000
13333.3333,87133.3333
15333.3333,88333.3333
14666.6667,87616.6667
13333.3333,87000
14666.6667,87616.6667
14666.6667,87616.6667
15133.3333,87433.3333
14183.3333,88683.3333
14116.6667,88583.3333
15300,88533.3333
15150,88183.3333
14816.6667,87733.3333
14533.3333,88100
13966.6667,87033.3333
13683.3333,87733.3333
13666.6667,87383.3333
13650,87333.3333
13583.3333,87066.6667
15150,88183.3333
14750,88950
13683.3333,86983.3333
15450,86466.6667
15433.3333,86416.6667
15283.3333,86916.6667
13816.6667,87550
14533.3333,89266.6667
14916.6667,88300
15850,85250
15433.3333,88166.6667
14900,88050
14900,88050
13733.3333,87550
13733.3333,87550
13733.3333,87550
13916.6667,87583.3333
13816.6667,87550
15050,87616.6667
15150,83700
15033.3333,87166.6667
13816.6667,87300
13600,87666.6667
13916.6667,87216.6667
14950,88333.3333
15566.6667,86300
14550,88933.3333
16316.6667,86516.6667
13300,87050
14116.6667,88333.3333
13266.6667,87116.6667
14616.6667,88833.3333
13266.6667,87116.6667
13600,87566.6667
14883.3333,86750
15033.3333,88400
13433.3333,87016.6667
14783.3333,89016.6667
13800,87233.3333
13766.6667,87650
13500,87416.6667
14900,88866.6667
14766.6667,89066.6667
13483.3333,87133.3333
14616.6667,89066.6667
14033.3333,88316.6667
14583.3333,87150
14000,87233.3333
14133.3333,87950
14366.6667,87800
14700,87550
15366.6667,86733.3333
13883.3333,86566.6667
15200,86133.3333
14116.6667,87150
13733.3333,87583.3333
13800,87650
13800,87650
15100,88766.6667
15883.3333,85850
15283.3333,88683.3333
13583.3333,86966.6667
13533.3333,87016.6667
13150,87183.3333
15150,88683.3333
13633.3333,86883.3333
13683.3333,87500
14700,87550
13366.6667,87050
14733.3333,86883.3333
14150,88350
14100,86816.6667
14050,87066.6667
13983.3333,87383.3333
13983.3333,86833.3333
13833.3333,88316.6667
13766.6667,87433.3333
13700,87350
13816.6667,87066.6667
13816.6667,87066.6667
14316.6667,88666.6667
13533.3333,87350
14650,88950
14650,88950
14116.6667,88333.3333
14116.6667,88550
14766.6667,88816.6667
14483.3333,87200
15033.3333,88400
13433.3333,87016.6667
13516.6667,87150
15433.3333,88233.3333
14116.6667,88633.3333
14816.6667,88216.6667
14783.3333,87266.6667
14166.6667,88866.6667
15166.6667,86200
14983.3333,87300
13850,87116.6667
15166.6667,86200
15050,88700
15016.6667,88183.3333
14166.6667,88683.3333
14933.3333,88966.6667
14833.3333,86200
14516.6667,89066.6667
14483.3333,88500
13533.3333,87250
14350,87583.3333
14333.3333,87150
14100,88483.3333
14750,87266.6667
13816.6667,87283.3333
14166.6667,86733.3333
13950,87400
13783.3333,86916.6667
13616.6667,87083.3333
14750,87383.3333
14083.3333,86716.6667
14066.6667,88050
15250,87533.3333
15183.3333,87150
15116.6667,86816.6667
15016.6667,87700
13683.3333,87700
15200,87266.6667
15100,87916.6667
15100,86116.6667
15033.3333,88750
14916.6667,87583.3333
14883.3333,88800
14616.6667,86300
14533.3333,87116.6667
14483.3333,87100
14366.6667,87033.3333
14300,87950
14116.6667,86850
13900,88216.6667
13683.3333,87166.6667
13516.6667,86866.6667
15033.3333,88750
14083.3333,87016.6667
15100,88050
14766.6667,87766.6667
15100,87916.6667
14116.6667,86850
13683.3333,87166.6667
14766.6667,88550
14700,86966.6667
14550,87316.6667
13933.3333,87033.3333
13766.6667,87250
15100,86116.6667
13833.3333,87250
14933.3333,88283.3333
14533.3333,88866.6667
14183.3333,86616.6667
15233.3333,88100
14933.3333,88283.3333
13283.3333,86766.6667
14000,88433.3333
15633.3333,86716.6667
15533.3333,86316.6667
15416.6667,86500
15300,86133.3333
15150,88283.3333
15016.6667,87800
15000,88200
14983.3333,87116.6667
14933.3333,88200
14916.6667,87850
14883.3333,88333.3333
14783.3333,87850
14650,88750
14616.6667,89116.6667
14600,89000
14583.3333,87366.6667
14550,88416.6667
14483.3333,88800
14483.3333,87850
14366.6667,88266.6667
14366.6667,88233.3333
14366.6667,87466.6667
14250,87900
14233.3333,88750
14200,87116.6667
14133.3333,88516.6667
14116.6667,87566.6667
14083.3333,88033.3333
14050,88516.6667
14050,88016.6667
14000,88433.3333
13983.3333,87066.6667
13850,87316.6667
13650,86933.3333
13616.6667,86983.3333
13516.6667,87116.6667
13316.6667,86900
14750,88766.6667
14750,88766.6667
14633.3333,88133.3333
14266.6667,87150
13800,87650
15883.3333,85033.3333
13516.6667,86900
15150,88233.3333
15783.3333,87816.6667
14633.3333,87116.6667
13766.6667,87200
13766.6667,87650
14916.6667,87900
15716.6667,86500
15416.6667,86983.3333
14433.3333,88416.6667
14250,88216.6667
14116.6667,88650
14033.3333,88083.3333
14883.3333,88216.6667
14400,87133.3333
13366.6667,86983.3333
13616.6667,87050
14333.3333,87150
13983.3333,87066.6667
13900,86700
13850,86633.3333
13300,87066.6667
13450,87033.3333
13666.6667,87516.6667
14900,87350
13866.6667,87216.6667
13683.3333,87400
14716.6667,87616.6667
14033.3333,87200
15850,85200
15347.5,88612.2222
15333.3333,88316.6667
15150,88266.6667
14983.3333,87016.6667
14900,88050
14800,88783.3333
14766.6667,87566.6667
14450,88400
14316.6667,88616.6667
14183.3333,88783.3333
13700,87250
14233.3333,86716.6667
13800,88383.3333
15200,87583.3333
13916.6667,86950
13800,87316.6667
14900,87350
13483.3333,87150
15166.6667,86833.3333
14600,87300
15166.6667,86833.3333
15366.6667,88616.6667
13700,87250
14600,86583.3333
14733.3333,87866.6667
14300,87083.3333
13900,87233.3333
13883.3333,87183.3333
13866.6667,87150
13633.3333,87133.3333
13466.6667,86933.3333
14083.3333,88600
13900,87233.3333
13883.3333,87183.3333
13466.6667,86933.3333
14116.6667,87533.3333
14100,88466.6667
14133.3333,86800
14250,86766.6667
13183.3333,87033.3333
13150,87016.6667
14766.6667,86883.3333
15950,85183.3333
14966.6667,87816.6667
14550,88883.3333
13783.3333,87233.3333
13483.3333,86766.6667
13266.6667,87316.6667
13266.6667,87316.6667
13600,87716.6667
13316.6667,86900
14116.6667,88583.3333
14116.6667,88583.3333
13483.3333,87666.6667
14116.6667,88583.3333
13766.6667,87466.6667
13666.6667,87133.3333
13666.6667,87133.3333
14683.3333,88016.6667
13766.6667,87466.6667
13633.3333,87633.3333
13283.3333,87333.3333
15083.3333,88733.3333
14933.3333,88266.6667
14116.6667,88400
13816.6667,88333.3333
13283.3333,87333.3333
13250,87000
13700,86400
13133.3333,87066.6667
14166.6667,86800
13916.6667,87300
14683.3333,88050
14166.6667,86800
14766.6667,88683.3333
15583.3333,86783.3333
14600,89000
14116.6667,88383.3333
14983.3333,88883.3333
14583.3333,86533.3333
14200,88866.6667
14166.6667,88750
14116.6667,88383.3333
14083.3333,88266.6667
14083.3333,86866.6667
13983.3333,87150
13783.3333,87250
13733.3333,86883.3333
13433.3333,86966.6667
14083.3333,86866.6667
14766.6667,88583.3333
14416.6667,87666.6667
15000,88800
14683.3333,88950
14633.3333,88833.3333
14716.6667,86600
13716.6667,87583.3333
13700,87516.6667
13166.6667,87366.6667
14933.3333,88266.6667
13366.6667,87600
15133.3333,88400
14116.6667,87066.6667
15250,86250
14166.6667,87166.6667
14000,87233.3333
13500,87233.3333
13500,87216.6667
13516.6667,87333.3333
14566.6667,86833.3333
13866.6667,86500
13500,87233.3333
13500,87216.6667
13300,86933.3333
13866.6667,87216.6667
13466.6667,87116.6667
13466.6667,87116.6667
13416.6667,87050
14050,87700
13716.6667,87400
14366.6667,87033.3333
14350,87150
13300,87416.6667
13783.3333,87233.3333
15483.3333,87833.3333
14883.3333,86966.6667
14666.6667,87750
14666.6667,87750
15033.3333,88016.6667
13416.6667,87750
13250,87033.3333
14833.3333,88433.3333
15166.6667,86116.6667
14850,86500
14500,86266.6667
14300,88566.6667
14166.6667,88350
15183.3333,87016.6667
15433.3333,86900
14700,87266.6667
14650,88600
14450,88700
14366.6667,87866.6667
14200,88366.6667
14150,88800
14000,87233.3333
13950,87733.3333
13650,87666.6667
13550,87783.3333
13366.6667,86916.6667
15000,87350
15000,87350
14233.3333,88766.6667
14700,87600
13966.6667,86533.3333
13866.6667,86600
13716.6667,87433.3333
14016.6667,88600
14250,88400
13566.6667,87100
14766.6667,87550
14916.6667,88333.3333
14516.6667,89283.3333
13416.6667,87750
13366.6667,87600
13916.6667,86433.3333
14100,88533.3333
14750,87716.6667
15100,88416.6667
15100,88416.6667
14050,88583.3333
14800,87800
13066.6667,86966.6667
14200,87516.6667
14416.6667,89200
13483.3333,86816.6667
15816.6667,85166.6667
15383.3333,86000
15150,86133.3333
14116.6667,86883.3333
13783.3333,87383.3333
13650,86916.6667
13600,87600
13550,87033.3333
13500,86833.3333
13483.3333,86816.6667
13466.6667,87083.3333
14500,87116.6667
14483.3333,89266.6667
14300,86733.3333
14100,87083.3333
13766.6667,87216.6667
13766.6667,87216.6667
14983.3333,88166.6667
14516.6667,89100
13450,86933.3333
14516.6667,87200
14183.3333,87133.3333
14183.3333,87133.3333
15183.3333,88783.3333
15166.6667,85883.3333
14150,88666.6667
14816.6667,86250
14900,88583.3333
14816.6667,88350
14600,87466.6667
15150,88283.3333
15650,87883.3333
13400,87733.3333
16016.6667,85933.3333
15650,87883.3333
13900,87000
13133.3333,87050
14116.6667,88600
15150,88283.3333
14500,86700
14250,86800
14166.6667,87183.3333
13700,87433.3333
14916.6667,88633.3333
14100,87033.3333
14116.6667,88566.6667
13683.3333,87683.3333
13616.6667,87050
14950,87966.6667
13500,87566.6667
15416.6667,88183.3333
15033.3333,86900
15033.3333,86900
14316.6667,86550
13183.3333,87066.6667
14816.6667,87800
13916.6667,87300
14916.6667,87933.3333
14916.6667,87933.3333
14850,88600
14333.3333,87550
14550,88516.6667
13783.3333,87300
15166.6667,88533.3333
13083.3333,87000
14850,86166.6667
14450,87000
14250,87300
13816.6667,87350
13683.3333,87700
13433.3333,87083.3333
13166.6667,87050
13916.6667,86966.6667
14800,88583.3333
14633.3333,87816.6667
14600,88000
14333.3333,87900
13950,87316.6667
13866.6667,86900
13816.6667,87316.6667
13550,87116.6667
13433.3333,86900
13333.3333,86783.3333
13250,87066.6667
15100,88100
14966.6667,88900
14900,88200
14833.3333,88516.6667
14833.3333,88500
14066.6667,88250
13366.6667,86966.6667
